,Word
0,encumb
1,restrain
2,stipul
3,forbad
4,strict
5,unavail
6,confin
7,constrain
8,bound
9,permiss
10,abid
11,forbid
12,encumbr
13,noncancel
14,strictest
15,requir
16,pledg
17,manditorili
18,imposit
19,commit
20,forbidden
21,indebt
22,permit
23,precondit
24,prohibit
25,compuls
26,escrow
27,insist
28,inhibit
29,depend
30,oblig
31,strictli
32,prohibitori
33,preclud
34,direct
35,impair
36,coven
37,stricter
38,dictat
39,preset
40,restraint
41,impos
42,limit
43,compli
44,refrain
45,mandat
46,restrict
47,compulsori
48,necessit
49,irrevoc
50,compel
51,constraint
52,prevent
53,mandatori
54,entail
55,earmark
56,obligatori
57,entrench
