,Word
0,unreconcil
1,appear
2,predictor
3,improb
4,vaguest
5,instabl
6,presumpt
7,somewhat
8,assumpt
9,vagari
10,uncertainli
11,unfamiliar
12,unwritten
13,unspecifi
14,conceiv
15,sporad
16,unsettl
17,could
18,unforecast
19,unexpect
20,clarif
21,undetect
22,predict
23,unknown
24,roughli
25,abey
26,indefinit
27,possibl
28,anomali
29,arbitrari
30,sudden
31,unquantifi
32,unobserv
33,unplan
34,believ
35,unusu
36,unclear
37,vari
38,untest
39,seldomli
40,may
41,approxim
42,reinterpret
43,reconsid
44,probabilist
45,inexact
46,uncertainti
47,almost
48,rumor
49,anticip
50,unconfirm
51,variant
52,imprecis
53,revis
54,undecid
55,preliminari
56,uncertain
57,deviat
58,random
59,undetermin
60,unexpectedli
61,preliminarili
62,tent
63,unpredict
64,seem
65,precaut
66,varianc
67,destabil
68,unidentifi
69,arbitrarili
70,suddenli
71,somewher
72,fluctuat
73,occasion
74,suscept
75,unprov
76,variabl
77,ambigu
78,anomal
79,indetermin
80,recalcul
81,riski
82,confusingli
83,depend
84,mayb
85,might
86,tend
87,riskier
88,nearli
89,likelihood
90,reexamin
91,suggest
92,precautionari
93,alter
94,probabl
95,condit
96,crossroad
97,vagu
98,undefin
99,sometim
100,cautious
101,exposur
102,unhedg
103,cautiou
104,reassess
105,pend
106,volatil
107,unseason
108,conting
109,ordinarili
110,appar
111,confus
112,differ
113,undesign
114,intang
115,undocu
116,variat
117,seldom
118,doubt
119,riskiest
120,vaguer
121,assum
122,hidden
123,unguarante
124,presum
125,hing
126,randomli
127,perhap
128,turbul
129,unproven
130,risk
131,incomplet
132,specul
133,nonassess
134,unforseen
135,unspecif
